input,target,gpt_prediction,mixed_model_prediction,gpt_smooth_bleu_score,mixed_model_smooth_bleu_score,,,,,,,,,,
"summarize: def _output_fonts(self):
        """""" """"""
        self.session._save_object_number()
        self._output_encoding_diffs()
        self._output_font_files()

        for font in self.fonts:
            obj = self.session._add_object()
            font._set_number(obj.id)
            font._output()",Called by the PDFLite object to prompt creating,,,,,#DIV/0!,,31.69807846,28.95188289,,,Experiment A,Experiment B,Experiment C,Code T5 (Baseline)
      the font objects.,self._output_font_files() This is an instance. If the font has no font is in the font.,24.01520166,19.52385211,,,#DIV/0!,,,,,Our Model,,31.64,28.9,20.36
"summarize: def get_courses_for_regid(self, regid, params={}):
        """"""
        
        """"""
        self._as_user = regid
        data = self._get_resource(""/api/v1/courses"", params=params)
        self._as_user = None

        courses = []
        for datum in data:
            if ""sis_course_id"" in datum:
                courses.append(CanvasCourse(data=datum))
            else:
                courses.append(self.get_course(datum[""id""], params))

        return courses",Return a list of courses for the passed regid.,Returns the list of courses for the given regid,Return a list of courses for the given regid.,72.99308518,83.57771535,78.28540027,,,,,CodeT5 Baseline,,,,
"summarize: def save_authorization_code(self, client_id, code, request,
                                *args, **kwargs):
        """"""""""""
        log.debug(
            'Persist authorization code %r for client %r',
            code, client_id
        )
        request.client = request.client or self._clientgetter(client_id)
        self._grantsetter(client_id, code, request, *args, **kwargs)
        return request.client.default_redirect_uri",Persist the authorization code.,Handle authorization code,() Save the authorization code.,61.88282599,77.01365066,69.44823833,,,,,,,,,
"summarize: def instruction_list(self):
        """"""
        """"""
        instruction_list = []
        for instruction in self.data:
            if isinstance(instruction, CompositeGate):
                instruction_list.extend(instruction.instruction_list())
            else:
                instruction_list.append(instruction)
        return instruction_list",Return a list of instructions for this CompositeGate.,Returns a list of instructions for the given instruction.,Returns a list of ``ListingCompositeGate`` instructions.,64.33733463,70.27994142,67.30863803,,,,,,,,,
"summarize: def delete_video(self, video_id):
        """"""
        
        """"""
        # Raise ApiError if not authenticated
        if not self.authenticated:
            raise ApiError(_(""Authentication is required""))

        entry = self.fetch_video(video_id)
        response = Api.yt_service.DeleteVideoEntry(entry)

        if not response:
            raise OperationError(_(""Cannot be deleted from Youtube""))

        return True",Deletes the video,Deletes the video video.,Delete a video,68.79419394,59.00922158,63.90170776,,,,,,,,,
"summarize: def remove_empty_segments(times, labels):
    """"""""""""
    assert len(times) - 1 == len(labels)
    inters = times_to_intervals(times)
    new_inters = []
    new_labels = []
    for inter, label in zip(inters, labels):
        if inter[0] < inter[1]:
            new_inters.append(inter)
            new_labels.append(label)
    return intervals_to_times(np.asarray(new_inters)), new_labels",Removes empty segments if needed.,Removes the empty segments of times.,Removes empty segments.,64.19722168,62.41069836,63.30396002,,,,,,,,,
"summarize: def register_resources(self, **resources):
        """"""
        
        """"""
        for key, resource in resources.items():
            if key in self._resources:
                raise AlreadyExistsException('A Service for {} is already registered.'.format(key))

            self._init_resource(key, resource)",Register resources with the ResourceManager.,Register the resources to the given resources.,Register resources in the resources.,61.01731474,62.92112166,61.9692182,,,,,,,,,
"summarize: def read_file_chunk(self, source, pos, chunk):
    ''''''
    if chunk==0:
        return StringIO()
    data = None
    with open(source, 'rb') as f:
      f.seek(pos)
      data = f.read(chunk)
    if not data:
      raise Failure('Unable to read data from source: %s' % source)
    return StringIO(data)",Read local file chunk,Read a file chunk,Read a.File chunk.,66.45926963,56.32809222,61.39368093,,,,,,,,,
"summarize: def startswith(string):
    """"""""""""
    def starts_with(value):
        validate(text, value)
        if not value.startswith(string):
            raise ValueError(""'{0}' does not start with '{1}'"".format(value, string))
        return True

    return starts_with",Checks if the string value starts with another string.,"(string, value) Starts a string with the given ``string``.",_start(string) Check if the value is starts with a string.,51.30286565,69.10383702,60.20335134,,,,,,,,,
"summarize: def populate_settings_dir(force: bool = False) -> bool:
    """"""
    
    """"""
    res = False
    if _default_settings_path == _settings_path:
        return res

    for src in list(_default_settings_path.glob('**/*.json')):
        dest = _settings_path / src.relative_to(_default_settings_path)
        if not force and dest.exists():
            continue
        res = True
        dest.parent.mkdir(parents=True, exist_ok=True)
        shutil.copy(src, dest)
    return res",Populate settings directory with default settings files,Populates the settings files to the given directory.,Pops a settings into a populate directory path and settings.,60.02775495,59.37309123,59.70042309,,,,,,,,,
"summarize: def get_extension(self):
        """"""""""""
        ext = os.path.splitext(self.img.name)[1]
        if ext:
            # Remove period from extension
            return ext[1:]
        return ext",Returns the file extension.,Returns the extension from the file.,[1:] Return the extension from a tag,69.29818744,49.79882018,59.54850381,,,,,,,,,
"summarize: def expression_filter(self, name, **kwargs):
        """"""
        
        """"""

        def decorator(func):
            self.filters[name] = ExpressionFilter(name, func, **kwargs)

        return decorator",Returns a decorator function for adding an expression filter.,"(self, **kwargs) Sets a function for the expression filter.",Expression function for decorator for another function.,57.49664476,60.62590543,59.0612751,,,,,,,,,
"summarize: def log_time(logger):
    """"""
    
    """"""
    def decorator(func):
        @wraps(func)
        def wrapper(*args, **kwargs):
            start = time.time()
            result = func(*args, **kwargs)
            end = time.time()
            _log_time(logger, func.__name__, start, end)
            return result
        return wrapper
    return decorator",Decorator to log the execution time of a function,Decorator function to log a time to execute the time,Decorator to decorator for logging timeing.,75.08389531,42.58249667,58.83319599,,,,,,,,,
"summarize: def delete_vacation(self, index, vacation):
        '''  '''
        body = {""selection"": {
                    ""selectionType"": ""thermostats"",
                    ""selectionMatch"": self.thermostats[index]['identifier']},
                ""functions"": [{""type"": ""deleteVacation"", ""params"": {
                    ""name"": vacation
                }}]}

        log_msg_action = ""delete a vacation""
        return self.make_request(body, log_msg_action)",Delete the vacation with name vacation,Remove a vacation to the viacation.,Delete the vacation of the action,53.94502708,62.74254631,58.3437867,,,,,,,,,
"summarize: def receive_queue_message(self, queue_name, peek_lock=True, timeout=60):
        '''
        
        '''
        if peek_lock:
            return self.peek_lock_queue_message(queue_name, timeout)
        return self.read_delete_queue_message(queue_name, timeout)",Receive a message from a queue for processing.,Receive the queue message for a queue message.,Receive a message from a message.,61.58385724,54.71669023,58.15027374,,,,,,,,,
"summarize: def parse_qsd(data, name=""query string"", exception=PluginError, schema=None, **params):
    """"""
    """"""

    value = dict(parse_qsl(data, **params))
    if schema:
        value = schema.validate(value, name=name, exception=exception)

    return value",Parses a query string into a dict.,Parses a query string to a URL.,Returns a query parameter of a query string.,74.25454649,41.67520235,57.96487442,,,,,,,,,
"summarize: def insert_patches(self, patches):
        """"""  """"""
        patchlines = []
        for patch_name in patches:
            patchline = PatchLine(patch_name)
            patch = patchline.get_patch()
            if patch:
                self.patch2line[patch] = patchline
            patchlines.append(patchline)
        patchlines.extend(self.patchlines)
        self.patchlines = patchlines",Insert list of patches at the front of the curent patches list,Insert patches from the patches to the patches to a list of patches.,return patches Returns the list of patches in the patches.,60.12477626,55.33552623,57.73015125,,,,,,,,,
"summarize: def apply_option(self, cmd, option, active=True):
        """"""""""""
        return re.sub(r'{{{}\:(?P<option>[^}}]*)}}'.format(option),
                      '\g<option>' if active else '', cmd)",Apply a command-line option.,Apply an option to a code,Apply a command line.,54.62354448,59.78497204,57.20425826,,,,,,,,,
"summarize: def disable_timestamp(method):
    """"""""""""
    @wraps(method)
    def wrapper(*args, **kwargs):
        result = None
        with correct_date():
            result = method(*args, **kwargs)
        return result
    return wrapper",Disable timestamp update per method.,Disable the timestamp instance,Disable a method to get timestamp.,52.82713456,61.43721397,57.13217427,,,,,,,,,
"summarize: def delete_checkpoint(self, checkpoint_id, path):
        """"""""""""
        with self.engine.begin() as db:
            return delete_single_remote_checkpoint(
                db, self.user_id, path, checkpoint_id,
            )",delete a checkpoint for a file,delete a checkpoint to delete a checkpoint.,delete a configured checkpoint.,50.44949733,63.28469671,56.86709702,,,,,,,,,
"summarize: def get_enrollments_for_course_by_sis_id(self, sis_course_id, params={}):
        """"""
        
        """"""
        return self.get_enrollments_for_course(
            self._sis_id(sis_course_id, sis_field=""course""), params)",Return a list of all enrollments for the passed course sis id.,Gets the enrollments for the course id for the specified parameters.,Returns a list of enrollments for the specified sis.,50.27448931,63.03638996,56.65543964,,,,,,,,,
"summarize: def __fetch_crate_versions(self, crate_id):
        """"""""""""

        raw_versions = self.client.crate_attribute(crate_id, ""versions"")

        version_downloads = json.loads(raw_versions)

        return version_downloads",Get crate versions data,Gets a crate versions.,Fetches a version in a crate_id.,72.16888547,40.6304468,56.39966614,,,,,,,,,
"summarize: def featured_playlists(self, locale=None, country=None, timestamp=None, limit=20, offset=0):
        """"""
        """"""
        route = Route('GET', '/browse/featured-playlists')
        payload = {'limit': limit, 'offset': offset}

        if country:
            payload['country'] = country

        if locale:
            payload['locale'] = locale

        if timestamp:
            payload['timestamp'] = timestamp

        return self.request(route, params=payload)",Get a list of Spotify featured playlists.,Get a list of locales that are featured.,Return a list of localed playlists.,54.70261742,58.06107377,56.3818456,,,,,,,,,
"summarize: def get_evaluations(self, prefix=None):
        """""" 
        """"""
        params = {""prefix"": prefix}
        return self.request(method=""get"", params=params).json()",Lists all the evaluations.,Get a list of evaluations.,Returns the list of evaluations.,57.63823693,54.94532598,56.29178146,,,,,,,,,
"summarize: def update_variant(self, variant_obj):
        """"""
        """"""
        LOG.debug('Updating variant %s', variant_obj.get('simple_id'))

        new_variant = self.variant_collection.find_one_and_replace(
            {'_id': variant_obj['_id']},
            variant_obj,
            return_document=pymongo.ReturnDocument.AFTER
        )
        return new_variant",Update one variant document in the database.,Update variant with inputs to the database,"Update an instance, if it's not in the variant",63.07775367,49.08750132,56.0826275,,,,,,,,,
"summarize: def create_secret_link(self, title, description=None, expires_at=None):
        """"""""""""
        self.link = SecretLink.create(
            title,
            self.receiver,
            extra_data=dict(recid=self.recid),
            description=description,
            expires_at=expires_at,
        )
        return self.link",Create a secret link from request.,Create a secret link from the title,"(title, description=title) Create a secret link from the title and link.",75.12189784,36.93015301,56.02602543,,,,,,,,,
"summarize: def utf8(unicode_str):
    """"""
    
    """"""
    if six.PY2 and isinstance(unicode_str, __unicode__):
        return unicode_str.encode('utf-8')

    return unicode_str",Return a utf-8 encoded string from a valid unicode string.,.encode('utf-8') Returns an unicode string to the given string,.encode('utf-8') Generate a unicode string of unicode string.,56.4525508,55.16082926,55.80669003,,,,,,,,,
"summarize: def convert_str_to_datetime(df, *, column: str, format: str):
    """"""
    
    """"""
    df[column] = pd.to_datetime(df[column], format=format)
    return df",Convert string column into datetime column,Convert string to string to datetime,[column] Returns a string into a datetime object.,59.32193799,51.96004361,55.6409908,,,,,,,,,
"summarize: def get_published_courses_in_account(self, account_id, params={}):
        """"""
        
        """"""
        params[""published""] = True
        return self.get_courses_in_account(account_id, params)",Return a list of published courses for the passed account ID.,Gets a list of published courses for account,Returns a list of accounts accounts in the ACCIshedSet.,61.78960071,48.84890689,55.3192538,,,,,,,,,
"summarize: def is_attribute_supported(self, attribute):
        """"""
        
        """"""
        if attribute not in self._attribute_rule_sets.keys():
            return False

        rule_set = self._attribute_rule_sets.get(attribute)
        if self._version >= rule_set.version_added:
            return True
        else:
            return False",Check if the attribute is supported by the current KMIP version.,Returns True if the version of the given attribute is added.,Checks if the attribute is only have one of the current directory.,51.01080252,59.56895959,55.28988106,,,,,,,,,
"summarize: def invalidate_authorization_code(self, client_id, code, request,
                                      *args, **kwargs):
        """"""
        """"""
        log.debug('Destroy grant token for client %r, %r', client_id, code)
        grant = self._grantgetter(client_id=client_id, code=code)
        if grant:
            grant.delete()",Invalidate an authorization code after use.,return grant Invalidate authorization code.,return grant Return an AuthorizationService.,71.98166156,38.38371387,55.18268772,,,,,,,,,
"summarize: def deserialize_function(serial, function_type):
  """"""

  """"""
  if function_type == 'function':
    # Simple lookup in custom objects
    function = tf.keras.utils.deserialize_keras_object(serial)
  elif function_type == 'lambda':
    # Unsafe deserialization from bytecode
    function = generic_utils.func_load(serial)
  else:
    raise TypeError('Unknown function type:', function_type)
  return function",Deserializes the Keras-serialized function.,Deserialize function to deserialize function.,Return a deserialization of the deserialization function.,62.023922,48.27868216,55.15130208,,,,,,,,,
"summarize: def lists(self, pattern: str = None) -> List[WikiList]:
        """"""
        """"""
        return [
            lst for arg in self.arguments for lst in arg.lists(pattern) if lst]",Return the lists in all arguments.,Lists a list of arguments of the lst.,] Lists a list of all arguments in the pattern.,53.36172774,56.47494931,54.91833853,,,,,,,,,
"summarize: def remove_method(self, key: T) -> Optional[Method]:
        """"""""""""
        method = self.methods.entry(key, None)
        if method:
            self._methods.swap(MultiFunction.__remove_method, key)
        return method",Remove the method defined for this key and return it.,Remove methods from a key and return a new method.,Remove method for a single key and adding methods,57.16237979,51.7855978,54.4739888,,,,,,,,,
"summarize: def _try_reduce_list(statements: List[""HdlStatement""]):
        """"""
        
        """"""
        io_change = False
        new_statements = []

        for stm in statements:
            reduced, _io_change = stm._try_reduce()
            new_statements.extend(reduced)
            io_change |= _io_change

        new_statements, rank_decrease = HdlStatement._merge_statements(
            new_statements)

        return new_statements, rank_decrease, io_change",Simplify statements in the list,Compute the list of statements,Get a list of all statements.,60.71786196,47.09863945,53.90825071,,,,,,,,,
"summarize: def delete_pool(name, session=None):
    """"""""""""
    if not (name and name.strip()):
        raise AirflowBadRequest(""Pool name shouldn't be empty"")

    pool = session.query(Pool).filter_by(pool=name).first()
    if pool is None:
        raise PoolNotFound(""Pool '%s' doesn't exist"" % name)

    session.delete(pool)
    session.commit()

    return pool",Delete pool by a given name.,Deletes the pool from the given name.,Delete any pools in a given session.,56.989687,50.07938801,53.53453751,,,,,,,,,
"summarize: def generate_encodeable_characters(characters: Iterable[str],
                                   encodings: Iterable[str]) -> Iterable[str]:
    """"""
    """"""
    for c in characters:
        for encoding in encodings:
            try:
                c.encode(encoding)
                yield c
            except UnicodeEncodeError:
                pass",Generates the subset of 'characters' that can be encoded by 'encodings'.,return c return Iterable(characters) Generates the encodings for an encoding.,return None Generates the encoded encoding characters from an encoding.,50.79519501,56.24853716,53.52186609,,,,,,,,,
"summarize: def get_asana_task(self, asana_task_id):
        """"""""""""

        try:
            return self.asana.tasks.find_by_id(asana_task_id)
        except asana_errors.NotFoundError:
            return None
        except asana_errors.ForbiddenError:
            return None",Retrieves a task from asana.,Retrieve a task from the asana task.,Gets the task task from the asana_task.,65.10651028,41.46302113,53.28476571,,,,,,,,,
"summarize: def create_event_datetimes(options, config):
    """"""
    
    """"""

    now = datetime.datetime.now()

    return {
        ""start"": {
            ""dateTime"": (now + datetime.timedelta(minutes=int(config[""start""]))).strftime(DT_FORMAT),
            ""timeZone"": options.timezone,
        },
        ""end"": {
            ""dateTime"": (now + datetime.timedelta(minutes=int(config[""end""]))).strftime(DT_FORMAT),
            ""timeZone"": options.timezone,
        },
    }",Create event start and end datetimes.,Get an event datetimes from events,Create an event datetime object.,50.66743174,55.70306203,53.18524689,,,,,,,,,
"summarize: def purity(state):
    """"""
    """"""
    rho = np.array(state)
    if rho.ndim == 1:
        return 1.0
    return np.real(np.trace(rho.dot(rho)))",Calculate the purity of a quantum state.,Calculate purity of a limit state and limits.,Returns the purity of an image of the binary state.,60.96329316,45.09688671,53.03008994,,,,,,,,,
"summarize: def syntax_check(domain):  # pragma: no cover
    """"""
    
    """"""

    if domain and isinstance(domain, str):
        # * The given domain is not empty nor None.
        # and
        # * The given domain is a string.

        # We silently load the configuration.
        load_config(True)

        return Check(domain).is_domain_valid()

    # We return None, there is nothing to check.
    return None",Check the syntax of the given domain.,Syntax validation of the given domain.,Fetch a single configuration from the given domain.,66.09556604,39.49429182,52.79492893,,,,,,,,,
"summarize: def get_params(self, pnames=None):
        """""" 

        """"""
        l = []
        if pnames is None:
            pnames = self.params.keys()
        for pname in pnames:
            p = self.params[pname]
            if isinstance(p, Parameter):
                l.append(p)
        return l",Return a list of Parameter objects,Returns a list of parameters,Returns a parameter position.,62.25088239,43.01103762,52.63096001,,,,,,,,,
"summarize: def _read_varint(self):
        """"""
        """"""
        buff = self._fd.read(1)
        if buff == b'':
            return 0

        while (bytearray(buff)[-1] & 0x80) >> 7 == 1:  # while the MSB is 1
            new_byte = self._fd.read(1)
            if new_byte == b'':
                raise EOFError('unexpected EOF.')
            buff += new_byte

        varint, _ = decodeVarint(buff, 0)

        return varint","Read a varint from file, parse it, and return the decoded integer.",", buff Reads the varint and returns the decoded integer.",.find('\r\n') Return a varint from the varint based on the ID.,61.13903867,44.10508711,52.62206289,,,,,,,,,
"summarize: def create_metrics(
            self, metric_configs: Iterable[MetricConfig]) -> Dict[str, Metric]:
        """"""""""""
        return self.registry.create_metrics(metric_configs)",Create and register metrics from a list of MetricConfigs.,Create a metrics from the metric configs.,Create a metrics from the ``MetricConfigs``.,49.582583,55.44538952,52.51398626,,,,,,,,,
"summarize: def get_organisation(self, id, name=None):
        '''
        
        '''
        return self.create_organisation(dict(id=id, name=name))",Get an organisation,Gets organisation.,Retrieves the organisation of the given id.,73.57777962,31.33640361,52.45709162,,,,,,,,,
"summarize: def get_mems_of_org(self):
        """"""
        
        """"""
        print 'Getting members.'
        counter = 0
        for member in self.org_retrieved.iter_members():
            self.members_json[member.id] = member.to_json()
            counter += 1
        return counter",Retrieves the number of members of the organization.,Returns the members of the given member.,Retrieves a MetadataOf the given member of the Member.,47.21834037,56.41414846,51.81624442,,,,,,,,,
"summarize: def slabs(request, server_name):
    """"""
    
    """"""
    data = _context_data({
        'title': _('Memcache Slabs for %s') % server_name,
        'cache_slabs': _get_cache_slabs(server_name),
    },
        request)
    return render_to_response('memcache_admin/slabs.html', data, RequestContext(request))",Show server slabs.,Slabs for a server,Sets a slab server.,50.82365017,52.74537345,51.78451181,,,,,,,,,
"summarize: def add_filters(self, filterer, filters):
        """"""""""""
        for f in filters:
            try:
                filterer.addFilter(self.config['filters'][f])
            except StandardError as e:
                raise ValueError('Unable to add filter %r: %s' % (f, e))",Add filters to a filterer from a list of names.,return filter Add filter to add filters to a list of filters,return filterer Add a filters any filters to the filters.,55.80208594,47.71897076,51.76052835,,,,,,,,,
"summarize: def dimension_size(x, axis):
  """"""""""""
  # Since tf.gather isn't ""constant-in, constant-out"", we must first check the
  # static shape or fallback to dynamic shape.
  s = tf.compat.dimension_value(
      tensorshape_util.with_rank_at_least(x.shape, np.abs(axis))[axis])
  if s is not None:
    return s
  return tf.shape(input=x)[axis]",Returns the size of a specific dimension.,Returns the dimension of axis to the tensor.,Constants an input dimension specification.,56.03883674,47.1049832,51.57190997,,,,,,,,,
"summarize: def parser_functions(self) -> List['ParserFunction']:
        """"""""""""
        _lststr = self._lststr
        _type_to_spans = self._type_to_spans
        return [
            ParserFunction(_lststr, _type_to_spans, span, 'ParserFunction')
            for span in self._subspans('ParserFunction')]",Return a list of parser function objects.,Parse the list of functions of the functions.,] Returns a list of functions of the spans,45.67152352,57.27103402,51.47127877,,,,,,,,,
"summarize: def compile_relative_distances(self, sympy_accesses=None):
        """"""
        
        """"""
        if sympy_accesses is None:
            sympy_accesses = self.compile_sympy_accesses()

        sympy_distances = defaultdict(list)
        for var_name, accesses in sympy_accesses.items():
            for i in range(1, len(accesses)):
                sympy_distances[var_name].append((accesses[i-1]-accesses[i]).simplify())

        return sympy_distances",Return load and store distances between accesses.,Returns the compiled relative distances into a list of accesses.,Relative distances and returns a list of accesses.,44.22085246,58.44990796,51.33538021,,,,,,,,,
"summarize: def _get_import_name(importnode, modname):
    """"""
    """"""
    if isinstance(importnode, astroid.ImportFrom):
        if importnode.level:
            root = importnode.root()
            if isinstance(root, astroid.Module):
                modname = root.relative_to_absolute_name(
                    modname, level=importnode.level
                )
    return modname",Get a prepared module name from the given import node,Returns a name for a name for the given import node,Returns the ASTRAM Module for a specified import node.,58.39200098,43.97827689,51.18513894,,,,,,,,,
"summarize: def create_directory(self, share_name, directory_name, **kwargs):
        """"""
        
        """"""
        return self.connection.create_directory(share_name, directory_name, **kwargs)",Create a new directory on a Azure File Share.,Create a new directory to the directory name.,Create a directory and return a directory instance.,57.41191348,44.8649506,51.13843204,,,,,,,,,
"summarize: def lookup_zone(conn, zone):
  """"""""""""
  all_zones = conn.get_all_hosted_zones()
  for resp in all_zones['ListHostedZonesResponse']['HostedZones']:
    if resp['Name'].rstrip('.') == zone.rstrip('.'):
      return resp['Id'].replace('/hostedzone/', '')
  raise ZoneNotFoundError('zone %s not found in response' % zone)",Look up a zone ID for a zone string.,Look up all zones for the zone.,Lookup Zones remote zones for a zone.,52.44013854,49.56957415,51.00485635,,,,,,,,,
