input,target,predicted,bleu_score
"summarize: def write_comment(fh, comment):
  """"""
    
  """"""
  _require_string(comment, 'comments')
  fh.write(_escape_comment(comment))
  fh.write(b'\n')",Writes a comment to the file in Java properties format.,"s to and the a an of for from in_.].]])))) ) pass break continue- is ==!= < >= <= / | &[:,[[-[:=[TrueFalseNone681}},})`",12.396095788977227
"summarize: def register_post_execute(self, func):
        """"""
        """"""
        if not callable(func):
            raise ValueError('argument %s must be callable' % func)
        self._post_execute[func] = True",Register a function for calling after code execution.,"=_ a. thes to an of with licies None get this, in and or'-((' ( [Retrievedirname all 'Thevalue not=' zes vicsummarizeCalculate through ingredient associated """"""""""""SetRuns",9.703001573177803
"summarize: def frames_to_samples(frames, hop_length=512, n_fft=None):
    """"""
    """"""

    offset = 0
    if n_fft is not None:
        offset = int(n_fft // 2)

    return (np.asanyarray(frames) * hop_length + offset).astype(int)",Converts frame indices to audio sample indices.,"=_ a. thesname to for of in all default Retrieve Add((_('(** an that self and'#zesCalculatesummarize throughsivelyrers None get this,'- or is fromself notSetRuns",7.612720651064378
"summarize: def partition(condition, collection) -> Tuple[List, List]:
    """"""""""""
    succeed, fail = [], []

    for x in collection:
        if condition(x):
            succeed.append(x)
        else:
            fail.append(x)

    return succeed, fail",Partitions a list into two based on a condition.,"=_ a. the to allsname for in not( ( this an of with by and-' or is on,:):selfThe None getRetrieve('(_ self un'"""" through AddRuns():",13.834947685397472
"summarize: def _get_axis_mode(self, axis):
        """"
        if all([isinstance(getattr(s, axis), TimeVariable) for s in self._series]):
            return 'time'
        return None",will get the axis mode for the current series,"s and for the a an of to from in_.().].'].').'),'))'])()) ))))))))),),.,;?&|>< >= <!= == > than between by before when within contain be",10.925360804815705
"summarize: def to_dot_file(self, fname: str):
        """"""
        
        """"""
        with open(fname, 'w') as f:
            f.write(self.to_dot())",write a '.dot' file.,"dir or an of to for and thes strNoneFalseTruemodetargeteventresultrequestpathnameidindexinfodebugwarningwarnexception >= > ==!= < <= / +),))) )())])'])')",11.804645272130365
"summarize: def get_config_path(self) -> str:
        """"""
        
        """"""
        dst_dir = self.__get_user_path()
        dst = dst_dir + ""/"" + config_filename
        return dst",Returns the path where the active config file is expected.    This is the user's profile folder.,"s and the a an of to from for with in_.().').'].].}.}'.},})))) )())'])'))])) Year smtp aseCDR Nbkeras RdalarmcopepredictedMonthcarrier"""":""""' by `",11.085634299643889
"summarize: def validate_email(self, email):
        """"""
        
        """"""
        try:
            self.user = User.objects.get_by_natural_key(email)
        except User.DoesNotExist:
            msg = _('A user with this email address does not exist.')
            raise serializers.ValidationError(msg)

        if self.user.email_verified:
            msg = _('User email address is already verified.')
            raise serializers.ValidationError(msg)
        return email",Validate if email exists and requires a verification.,"timeid_ a the. to all and: of an be Retrieve None(('(_zes through Addcreateupdate that self ins''""""mography summarizeCalculateficiencyRunsrersuests midtUpdateSetliciesdir for",9.220723865239929
"summarize: def utf8(unicode_str):
    """"""
    
    """"""
    if six.PY2 and isinstance(unicode_str, __unicode__):
        return unicode_str.encode('utf-8')

    return unicode_str",Return a utf-8 encoded string from a valid unicode string.,s the a an of for and or from to in_.liststrNoneFalseTruenpnumpymathencodedecodestripreplacefindexecuteselectqueryurlpathnameinfodebugconfirmmanage [,14.782325532022659
"summarize: def f_remove_link(self, name):
        """""" 

        """"""
        if name not in self._links:
            raise ValueError('No link with name `%s` found under `%s`.' % (name, self._full_name))

        self._nn_interface._remove_link(self, name)",Removes a link from from the current group node with a given name.,"=_. the to not - of a in andsname for from Retrieve zes summarize((_(' ( max list with'"""" NonerersallelizeCalculateSetokieskwargsdirpath an, or butficiency",16.10284130284063
"summarize: def list_subscriptions(self, user_token):
        """"""
        
        """"""
        response = _request('GET',
            url=self.url_v1('/user/subscriptions'),
            user_agent=self.user_agent,
            user_token=user_token,
        )
        _raise_for_status(response)

        return response.json()['topics']",Get the list of the topics which a user is subscribed to.,"=_. the and a s ` to of in for ( ( [Retrieve NoneAddbuildischeck-'name'"""" CalculateficiencyzesRunsberedrerssummarize HG through all or is,self'' an radix",11.045599387721055
"summarize: def off(self, name, callback):
        """"""
        
        """"""
        if callback not in self.__listeners[name]:
            raise InvalidListenerError
        self.__listeners[name].remove(callback)",Stop listening for the named event via the specified callback.,"=_. to the andsname '"""" all or file None( ( this an of a for from' in: not SetAddbuild, Pformat c with(_Calculate get self representingkwargs """"""""""""filekey that",11.245424364038147
"summarize: def head(self, url):
    '''
    '''
    bot.debug('HEAD %s' %url)
    return self._call(url, func=requests.head)","head request, typically used for status code retrieval, etc.","s the a an of to for and or from in_.].'].').'),),)),)]))))())])],]),])) 1filer""('( (usernamename' status name value self",13.870122729958274
